city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,Cabedelo,-6.9811,-34.8339,72.27,75,19,8.9,BR,6/22/21 2:46
213,Moron,-34.6534,-58.6198,53.98,91,79,3.27,AR,6/22/21 2:46
214,Yeppoon,-23.1333,150.7333,73.18,73,20,16.08,AU,6/22/21 2:46
215,Kasongo-Lunda,-6.4667,16.8167,69.17,50,91,1.34,CD,6/22/21 2:46
216,Skagen,57.7209,10.5839,60.1,83,85,7.4,DK,6/22/21 2:46
217,Jiayuguan,39.8167,98.3,78.01,25,65,10.36,CN,6/22/21 2:46
218,Avera,33.194,-82.5271,81.28,86,100,12.19,US,6/22/21 2:46
219,Amahai,-3.3333,128.9167,84.15,67,78,3.27,ID,6/22/21 2:46
220,Cantavir,45.9219,19.7627,69.06,71,38,6.93,RS,6/22/21 2:46
221,Torbay,47.6666,-52.7314,60.67,89,75,14.97,CA,6/22/21 2:46
222,Rio Grande,-32.035,-52.0986,51.94,93,48,5.88,BR,6/22/21 2:43
223,Qui Nhon,13.7667,109.2333,91.58,55,50,4.14,VN,6/22/21 2:45
224,Nikolskoye,59.7035,30.7861,75.79,78,7,4.59,RU,6/22/21 2:46
225,Maragogi,-9.0122,-35.2225,75.49,79,34,4.65,BR,6/22/21 2:46
226,Barinitas,8.7622,-70.4111,71.08,96,74,4.88,VE,6/22/21 2:46
227,Nanortalik,60.1432,-45.2371,41.56,93,100,1.95,GL,6/22/21 2:46
228,Sao Filipe,14.8961,-24.4956,72,80,17,7.2,CV,6/22/21 2:46
229,Ilulissat,69.2167,-51.1,44.62,65,0,0,GL,6/22/21 2:46
230,Coahuayana,18.7333,-103.6833,79.72,88,92,3.09,MX,6/22/21 2:46
231,Nishihara,26.1842,127.7558,80.26,89,90,16.11,JP,6/22/21 2:46
232,Coquimbo,-29.9533,-71.3436,49.73,81,0,5.75,CL,6/22/21 2:46
233,Airai,-8.9266,125.4092,75.85,50,73,1.66,TL,6/22/21 2:46
234,Port Augusta,-32.5,137.7667,64.71,44,100,20.04,AU,6/22/21 2:46
235,Bijar,35.8668,47.6051,66.7,54,0,4.47,IR,6/22/21 2:46
236,Tari,12.4086,4.4914,72.34,85,100,15.82,NG,6/22/21 2:46
237,Noumea,-22.2763,166.4572,75.18,99,96,6.58,NC,6/22/21 2:46
238,Port Hardy,50.6996,-127.4199,62.78,82,20,16.11,CA,6/22/21 2:46
239,Pilibanga,29.4916,74.079,97,33,0,7.27,IN,6/22/21 2:46
240,Bonavista,48.6499,-53.1147,55.4,93,88,7.87,CA,6/22/21 2:46
241,Cayenne,4.9333,-52.3333,79.09,87,100,0,GF,6/22/21 2:46
242,Kimbe,-5.5502,150.1429,89.02,56,92,5.82,PG,6/22/21 2:46
243,Oriximina,-1.7656,-55.8661,77.29,76,50,4.94,BR,6/22/21 2:46
244,Kiama,-34.6833,150.8667,65.25,70,12,3.29,AU,6/22/21 2:44
245,San Jose,37.3394,-121.895,73.71,61,1,1.99,US,6/22/21 2:43
246,Inuvik,68.3499,-133.7218,52.56,70,75,14.97,CA,6/22/21 2:46
247,Devonport,-41.1667,146.35,54.99,73,100,6.26,AU,6/22/21 2:46
248,Mwinilunga,-11.7358,24.4293,47.62,80,21,4.81,ZM,6/22/21 2:46
249,Luquillo,18.3725,-65.7166,82.51,83,90,9.22,PR,6/22/21 2:46
250,Alindao,5.0267,21.2088,69.1,97,60,6.55,CF,6/22/21 2:46
251,Manokwari,-0.8667,134.0833,83.59,68,66,7.83,ID,6/22/21 2:46
252,Carnarvon,-24.8667,113.6333,59.07,51,0,12.66,AU,6/22/21 2:46
253,Lasa,46.6166,10.7002,62.02,92,14,2.59,IT,6/22/21 2:46
254,Sao Joao Da Barra,-21.6403,-41.0511,65.23,86,72,9.69,BR,6/22/21 2:46
255,Geraldton,-28.7667,114.6,55.81,67,100,8.05,AU,6/22/21 2:46
256,Acari,-15.4311,-74.6158,64.83,78,90,3,PE,6/22/21 2:46
257,Koubia,11.5833,-11.9,67.75,93,99,2.01,GN,6/22/21 2:46
258,Lorengau,-2.0226,147.2712,84.92,72,24,12.91,PG,6/22/21 2:46
259,Harper,4.375,-7.7169,77,85,88,6.24,LR,6/22/21 2:46
260,Jumla,29.2747,82.1838,70.63,68,22,3.18,NP,6/22/21 2:46
261,Lake City,30.1897,-82.6393,72,87,100,4.32,US,6/22/21 2:46
262,Kashary,49.04,41.0056,68.16,60,93,8.01,RU,6/22/21 2:46
263,Ayr,55.4627,-4.6339,45.48,87,0,2.3,GB,6/22/21 2:41
264,Saint-Philippe,-21.3585,55.7679,66.22,71,89,10.49,RE,6/22/21 2:46
