City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
151,Yenagoa,NG,2021-06-22 03:40:19,4.9247,6.2642,73.29,97,100,1.1,light rain,0,0
152,Dikson,RU,2021-06-22 03:37:47,73.5069,80.5464,33.48,88,66,9.93,broken clouds,0,0
153,Rio Verde De Mato Grosso,BR,2021-06-22 03:40:19,-18.9181,-54.8442,71.67,59,99,3.89,overcast clouds,0,0
154,Dutse,NG,2021-06-22 03:40:19,11.7594,9.3392,78.67,68,82,7.18,light rain,0,0
155,Tecoanapa,MX,2021-06-22 03:40:20,16.5167,-98.75,80.69,82,81,1.43,broken clouds,0,0
156,Aksarka,RU,2021-06-22 03:40:20,66.5606,67.7975,50.63,57,82,8.81,broken clouds,0,0
157,La Plata,AR,2021-06-22 03:40:20,-34.9215,-57.9545,54.0,90,95,5.86,overcast clouds,0,0
158,Hargeysa,SO,2021-06-22 03:40:20,9.56,44.065,68.18,65,6,28.52,clear sky,0,0
159,Hihya,EG,2021-06-22 03:40:21,30.6713,31.588,74.28,64,0,3.38,clear sky,0,0
160,Tessalit,ML,2021-06-22 03:37:19,20.1986,1.0114,82.26,46,6,11.48,clear sky,0,0
161,Port Lincoln,AU,2021-06-22 03:37:51,-34.7333,135.8667,53.67,72,100,23.38,moderate rain,0,0
162,Asekeyevo,RU,2021-06-22 03:40:21,53.5742,52.7972,76.91,69,0,4.92,clear sky,0,0
163,Orlik,RU,2021-06-22 03:40:22,52.5178,99.825,52.2,92,100,2.44,light rain,0,0
164,Vila Franca Do Campo,PT,2021-06-22 03:37:43,37.7167,-25.4333,63.01,78,45,5.57,scattered clouds,0,0
165,Torbay,CA,2021-06-22 03:37:59,47.6666,-52.7314,61.48,89,75,16.11,broken clouds,0,0
166,Meulaboh,ID,2021-06-22 03:39:25,4.1363,96.1285,78.53,80,98,5.35,overcast clouds,0,0
167,Clyde River,CA,2021-06-22 03:38:51,70.4692,-68.5914,32.23,100,75,14.97,broken clouds,0,0
168,Vostok,RU,2021-06-22 03:40:22,46.4856,135.8833,77.23,25,45,6.89,scattered clouds,0,0
169,Guaruja,BR,2021-06-22 03:40:23,-23.9931,-46.2564,70.16,26,73,1.01,moderate rain,0,0
170,Kahului,US,2021-06-22 03:37:23,20.8947,-156.47,84.22,73,40,20.71,scattered clouds,0,0
171,Popondetta,PG,2021-06-22 03:40:23,-8.7537,148.2534,87.87,55,23,5.95,few clouds,0,0
172,Ascension,US,2021-06-22 03:40:23,30.2169,-90.9001,77.04,95,40,0.0,scattered clouds,0,0
173,Carnarvon,AU,2021-06-22 03:37:44,-24.8667,113.6333,62.67,49,0,11.5,clear sky,0,0
174,Novi Becej,RS,2021-06-22 03:40:23,45.5986,20.1356,65.28,74,49,6.29,scattered clouds,0,0
175,Gizo,SB,2021-06-22 03:40:24,-8.103,156.8419,83.48,74,59,7.83,light rain,0,0
176,Dingle,PH,2021-06-22 03:37:46,10.9995,122.6711,83.3,72,100,4.29,overcast clouds,0,0
177,Butaritari,KI,2021-06-22 03:38:02,3.0707,172.7902,83.12,68,88,2.51,overcast clouds,0,0
178,Puerto Ayora,EC,2021-06-22 03:37:33,-0.7393,-90.3518,73.54,92,94,5.01,overcast clouds,0,0
179,Penha,BR,2021-06-22 03:40:24,-26.7694,-48.6458,62.82,100,100,6.91,overcast clouds,0,0
180,Bardiyah,LY,2021-06-22 03:40:24,31.7561,25.0865,73.42,81,0,5.59,clear sky,0,0
